"carrier_code","avg_arr_delay","avg_carrier_delay","avg_weather_delay","avg_nas_delay","avg_security_delay","avg_late_aircraft_delay"
"DL",7965.3,3658.75,379.17,1536.65,4.85,2385.88
"UA",7813.97,2221.95,410.89,2116.01,0.31,3064.81
