"month","carrier_delays","weather_delays","nas_delays","security_delays","late_aircraft_delays"
1,3504.67,363,3923.77,0,2901
2,2982.18,391,4592.350000000001,2,2784
3,3243.84,339,4418.19,1,3550
4,2994.08,338,5046.52,0,3263
5,8379.56,1589,13076.6,2,9959
6,4422.15,600,4609.59,1,5331
7,5906.95,658,4995.55,0,6433
8,4344.43,616,4703.69,1,5174
9,2663.47,148,3003.71,0,2637
10,2727.34,66,2730.26,0,2423
11,2903.86,190,4648.76,0,3174
12,3958.23,303,4253.91,2,3449
