"year","month","avg_delay_per_flight"
2024,5,14.86
2024,6,14
2024,7,26.99
2024,8,14.1
2024,9,7.99
2024,10,5.73
2024,11,6.59
2024,12,12.79
2025,1,14.85
2025,2,13.92
2025,3,13.21
2025,4,12.04
2025,5,15.41
